,ticker,close_price_1_days_ago,close_price_2_days_ago,close_price_3_days_ago
0,KRW-BTC,37094000.0,37233000.0,35767000.0
1,KRW-ETH,2360000.0,2371000.0,2338000.0
2,KRW-NEO,17620.0,17860.0,15740.0
3,KRW-MTL,1645.0,1660.0,1625.0
4,KRW-XRP,513.0,515.0,497.0
5,KRW-ETC,27840.0,28050.0,27630.0
6,KRW-OMG,3115.0,3205.0,1925.0
7,KRW-SNT,37.0,37.2,35.9
8,KRW-WAVES,3165.0,3195.0,3050.0
9,KRW-XEM,54.7,55.0,54.1
10,KRW-QTUM,4715.0,4745.0,3935.0
11,KRW-LSK,1500.0,1520.0,1460.0
12,KRW-STEEM,291.0,290.0,285.0
13,KRW-XLM,116.0,116.0,113.0
14,KRW-ARDR,127.0,126.0,123.0
15,KRW-ARK,467.0,474.0,461.0
16,KRW-STORJ,516.0,524.0,487.0
17,KRW-GRS,572.0,577.0,577.0
18,KRW-REP,12260.0,12540.0,11610.0
19,KRW-ADA,457.0,460.0,449.0
20,KRW-SBD,3955.0,3965.0,3900.0
21,KRW-POWR,255.0,257.0,248.0
22,KRW-BTG,22720.0,23000.0,22500.0
23,KRW-ICX,304.0,312.0,285.0
24,KRW-EOS,1530.0,1545.0,1465.0
25,KRW-TRX,88.6,88.7,87.6
26,KRW-SC,5.63,5.68,5.56
27,KRW-ONT,329.0,333.0,320.0
28,KRW-ZIL,38.7,39.1,37.7
29,KRW-POLYX,235.0,233.0,229.0
30,KRW-ZRX,329.0,333.0,309.0
31,KRW-LOOM,93.4,95.2,95.1
32,KRW-BCH,180200.0,180800.0,174100.0
33,KRW-BAT,344.0,344.0,326.0
34,KRW-IOST,14.9,15.0,14.3
35,KRW-RFR,8.97,9.01,8.94
36,KRW-CVC,149.0,148.0,143.0
37,KRW-IQ,8.82,8.9,8.95
38,KRW-IOTA,296.0,298.0,290.0
39,KRW-HIFI,601.0,590.0,582.0
40,KRW-ONG,415.0,412.0,403.0
41,KRW-GAS,5040.0,4880.0,4730.0
42,KRW-UPP,97.8,98.5,98.1
43,KRW-ELF,409.0,413.0,414.0
44,KRW-KNC,1010.0,1015.0,964.0
45,KRW-BSV,49200.0,49650.0,48690.0
46,KRW-THETA,1415.0,1425.0,1380.0
47,KRW-QKC,15.4,15.5,15.2
48,KRW-BTT,0.0009,0.0008,0.0009
49,KRW-MOC,142.0,143.0,141.0
50,KRW-ENJ,571.0,563.0,544.0
51,KRW-TFUEL,75.4,76.2,74.7
52,KRW-MANA,838.0,844.0,825.0
53,KRW-ANKR,47.9,48.1,47.8
54,KRW-AERGO,178.0,177.0,171.0
55,KRW-ATOM,16310.0,16440.0,16320.0
56,KRW-TT,6.36,6.38,6.24
57,KRW-CRE,6.87,7.0,7.21
58,KRW-MBL,4.54,4.57,4.51
59,KRW-WAXP,95.6,96.3,93.3
60,KRW-HBAR,86.1,86.5,83.1
61,KRW-MED,23.7,23.6,23.0
62,KRW-MLK,374.0,374.0,362.0
63,KRW-STPT,65.3,65.6,65.5
64,KRW-ORBS,44.1,44.6,43.5
65,KRW-VET,32.3,32.6,30.7
66,KRW-CHZ,161.0,162.0,158.0
67,KRW-STMX,8.26,8.3,8.11
68,KRW-DKA,51.2,51.5,50.1
69,KRW-HIVE,631.0,577.0,557.0
70,KRW-KAVA,1675.0,1700.0,1695.0
71,KRW-AHT,12.4,12.6,12.6
72,KRW-LINK,9400.0,9430.0,9200.0
73,KRW-XTZ,1660.0,1655.0,1580.0
74,KRW-BORA,257.0,257.0,248.0
75,KRW-JST,36.9,37.4,35.6
76,KRW-CRO,95.2,95.6,93.8
77,KRW-TON,2550.0,2580.0,2510.0
78,KRW-SXP,393.0,396.0,377.0
79,KRW-HUNT,549.0,537.0,535.0
80,KRW-PLA,330.0,314.0,305.0
81,KRW-DOT,8560.0,8585.0,8390.0
82,KRW-SRM,588.0,600.0,598.0
83,KRW-MVL,5.61,5.57,5.47
84,KRW-STRAX,745.0,749.0,733.0
85,KRW-AQT,1735.0,1755.0,1730.0
86,KRW-GLM,335.0,337.0,333.0
87,KRW-SSX,26.7,26.8,26.0
88,KRW-META,42.6,42.7,42.7
89,KRW-FCT2,96.1,97.4,97.1
90,KRW-CBK,1010.0,1010.0,983.0
91,KRW-SAND,905.0,911.0,888.0
92,KRW-HUM,144.0,142.0,138.0
93,KRW-DOGE,98.8,99.3,97.1
94,KRW-STRK,19150.0,19210.0,18650.0
95,KRW-PUNDIX,678.0,658.0,624.0
96,KRW-FLOW,1425.0,1435.0,1385.0
97,KRW-DAWN,1020.0,1015.0,993.0
98,KRW-AXS,12020.0,12160.0,11590.0
99,KRW-STX,1515.0,1505.0,1520.0
100,KRW-XEC,0.0431,0.0432,0.0414
101,KRW-SOL,29090.0,29080.0,28200.0
102,KRW-MATIC,1550.0,1555.0,1560.0
103,KRW-NU,239.0,241.0,248.0
104,KRW-AAVE,105300.0,105800.0,103450.0
105,KRW-1INCH,727.0,734.0,690.0
106,KRW-ALGO,292.0,293.0,285.0
107,KRW-NEAR,2870.0,2840.0,2765.0
108,KRW-AVAX,23310.0,23310.0,22590.0
109,KRW-T,56.1,56.8,56.4
110,KRW-CELO,885.0,894.0,843.0
111,KRW-GMT,582.0,592.0,605.0
112,KRW-APT,17150.0,17330.0,17030.0
113,KRW-SHIB,0.0145,0.0146,0.0143
114,KRW-MASK,7750.0,7955.0,7945.0
